,Word,Translation,Part_of_Speech
1,the,"o, a, os, as",article
2,to be,"ser, estar",verb
3,and,e,conjunction
4,of,de,preposition
5,a,"um, uma",article
6,in,"em, dentro",preposition
7,to have,ter,verb
8,to,"para, a",preposition
9,it,"isso, ele, ela",pronoun
10,I,eu,pronoun
11,that,"essea, aquelea, aquilo",conjunction
12,for,"para, por",preposition
13,you,"tu, você, vós",pronoun
14,he,ele,pronoun
15,with,com,preposition
16,on,"em, em cima",preposition
17,to do,fazer,verb
18,to say,"dizer, falar, contar",verb
19,this,"estea, essea",determiner
20,they,"eles, elas",pronoun
21,at,em,preposition
22,but,mas,conjunction
23,we,"nós, a gente",pronoun
24,his,dele,article
25,from,de,preposition
26,that,"essea, aquelea, aquilo",determiner
27,not,não,x
28,n't,não,x
29,by,por,preposition
30,she,ela,pronoun
31,or,ou,conjunction
32,as,como,conjunction
33,what,"que, qual",determiner
34,to go,ir,verb
35,their,delesas,article
36,can,para criança,verb modal
37,who,quem,pronoun
38,to get,pegar,verb
39,if,se,conjunction
40,would,"-aria, -eria, -iria",verb modal
41,her,ela,article
42,all,"tudo, todoa,os, as",determiner
43,my,"meu, minha",article
44,to make,"fazer, criar",verb
45,about,sobre,preposition
46,to know,"saber, conhecer",verb
47,will,"-ará, -erá, -irá",verb modal
48,as,como,preposition
49,up,para cima,adverb
50,one,"um, uma",number
51,time,"tempo, hora",noun
52,there,alí,e
53,year,ano,noun
54,so,tão,adverb
55,to think,"pensar, achar",verb
56,when,quando,conjunction
57,which,qual,determiner
58,them,"eles, elas",pronoun
59,some,"alguma, alguns, algumas",determiner
60,me,mim,pronoun
61,people,"pessoas, gente",noun
62,to take,levar,verb
63,out,"fora, para fora",adverb
64,into,"dentro, para dentro",preposition
65,just,"só, apenas",adverb
66,to see,ver,verb
67,him,ele,pronoun
68,your,"seu, sua, seus, suas",article
69,to come,vir,verb
70,could,poderia,verb modal
71,now,agora,adverb
72,than,do que,conjunction
73,like,como,preposition
74,other,outroa,adjective
75,how,como,adverb
76,then,então,adverb
77,its,"dele, dela",article
78,our,"nossoa, nossosas",article
79,two,"dois, duas",number
80,more,mais,adverb
81,these,"estes, estas, esses, essas",determiner
82,to want,querer,verb
83,way,"caminho, maneira",noun
84,to look,"ver, olhar",verb
85,first,primeiroa,number
86,also,também,adverb
87,new,novoaosas,adjective
88,because,"porque, pois",conjunction
89,day,dia,noun
90,more,mais,determiner
91,to use,"usar, utilizar",verb
92,no,nenhuma,article
93,man,homem,noun
94,to find,"encontrar, achar",verb
95,here,aqui,adverb
96,thing,"coisa, bagulho",noun
97,to give,"dar, entregar",verb
98,many,muitos,determiner
99,well,bem,adverb
100,only,"somente, apenas",adverb
101,those,aquelesas,determiner
102,to tell,"dizer, contar, falar",verb
103,one,se,pronoun
104,very,muito,adverb
105,her,ela,pronoun
106,even,mesmo,adverb
107,back,"para trás, de volta",adverb
108,any,qualquer uma,determiner
109,good,"bom, boa, bons, boas",adjective
110,woman,mulher,noun
111,through,"por, através",preposition
112,us,nós,pronoun
113,life,a vida,noun
114,child,criança,noun
115,there,"alí, lá",adverb
116,to work,"trabalhar, funcionar",verb
117,down,"em baixo, para baixo",adverb
118,may,talvez,verb modal
119,after,depois,preposition
120,should,deveria,verb modal
121,to call,"chamar, ligar",verb
122,world,mundo,noun
123,over,"por cima de, em cima",preposition
124,school,escola,noun
